1
 ESATAN-TMS  2018 sp1                                                  Page     1
           52    TRXU                             38.58          0.00
           53    TRXU                             38.55          0.00
           54    TRXU                             38.58          0.00
           55    TRXU                             38.55          0.00
           56    TRXU                             38.58          0.00
           57    TRXU                             38.54          0.00
           58    TRXU                             38.58          0.00
           59    TRXU                             38.55          0.00
           60    TRXU                             38.58          0.00
           61    TRXU                             38.54          0.00
           62    TRXU                             38.58          0.00
           63    TRXU                             38.55          0.00
           64    TRXU                             38.58          0.00
           65    TRXU                             38.55          0.00
           66    TRXU                             38.58          0.00
           67    TRXU                             38.54          0.00
           68    TRXU                             38.58          0.00
           69    TRXU                             38.54          0.00
           70    TRXU                             38.58          0.00
           71    OBC                              45.35          0.00
           72    OBC                              45.35          0.00
           73    OBC                              45.38          0.00
           74    OBC                              45.38          0.00
           75    OBC                              45.37          0.00
           76    OBC                              45.37          0.00
           77    OBC                              45.36          0.00
           78    OBC                              45.37          0.00
           79    OBC                              45.38          0.00
           80    OBC                              45.40          0.00
           81    OBC                              45.37          0.00
           82    OBC                              45.40          0.00
           83    OBC                              45.41          0.00
           84    OBC                              45.41          0.00
           85    OBC                              45.41          0.00
           86    OBC                              45.40          0.00
           87    OBC                              45.40          0.00
           88    OBC                              45.38          0.00
           89    OBC                              45.39          0.00
           90    OBC                              45.37          0.00
           91    OBC                              45.43          0.00
           92    OBC                              45.43          0.00
           93    OBC                              45.41          0.00
           94    OBC                              45.41          0.00
           95    ADCS                             29.49          0.00
           96    ADCS                             29.49          0.00
           97    ADCS                             29.50          0.00
           98    ADCS                             29.50          0.00
           99    ADCS                             29.49          0.00
          100    ADCS                             29.49          0.00
          101    ADCS                             29.49          0.00
          102    ADCS                             29.49          0.00
          103    ADCS                             29.49          0.00
          104    ADCS                             29.49          0.00
          105    ADCS                             29.49          0.00
          106    ADCS                             29.49          0.00
          107    ADCS                             29.50          0.00
          108    ADCS                             29.50          0.00
          109    ADCS                             29.50          0.00
          110    ADCS                             29.50          0.00
          111    ADCS                             29.49          0.00
          112    ADCS                             29.49          0.00
          113    ADCS                             29.49          0.00
          114    ADCS                             29.49          0.00
          115    ADCS                             29.49          0.00
          116    ADCS                             29.49          0.00
          117    ADCS                             29.49          0.00
          118    ADCS                             29.49          0.00
          119    Fourthplate                      15.91          0.00
          120    Fourthplate                      14.10          0.00
          121    Fourthplate                      16.55          0.00
          122    Fourthplate                      14.59          0.00
          123    EPS                              31.63          0.00
          124    EPS                              31.63          0.00
          125    EPS                              31.65          0.00
          126    EPS                              31.65          0.00
          127    EPS                              31.61          0.00
          128    EPS                              31.61          0.00
          129    EPS                              31.62          0.00
          130    EPS                              31.62          0.00
          131    EPS                              31.62          0.00
          132    EPS                              31.63          0.00
          133    EPS                              31.62          0.00
          134    EPS                              31.64          0.00
          135    EPS                              31.64          0.00
          136    EPS                              31.64          0.00
          137    EPS                              31.65          0.00
          138    EPS                              31.65          0.00
          139    EPS                              31.63          0.00
          140    EPS                              31.62          0.00
          141    EPS                              31.64          0.00
          142    EPS                              31.62          0.00
          143    EPS                              31.63          0.00
          144    EPS                              31.63          0.00
          145    EPS                              31.62          0.00
          146    EPS                              31.62          0.00
          147    DicePayload                      26.89          0.00
          148    DicePayload                      26.89          0.00
          149    DicePayload                      26.89          0.00
          150    DicePayload                      26.89          0.00
          151    DicePayload                      26.90          0.00
          152    DicePayload                      26.89          0.00
          153    DicePayload                      26.89          0.00
          154    DicePayload                      26.89          0.00
          155    DicePayload                      26.90          0.00
          156    DicePayload                      26.90          0.00
          157    DicePayload                      26.89          0.00
          158    DicePayload                      26.89          0.00
          159    DicePayload                      26.90          0.00
          160    DicePayload                      26.90          0.00
          161    DicePayload                      26.90          0.00
          162    DicePayload                      26.90          0.00
          163    DicePayload                      26.90          0.00
          164    DicePayload                      26.90          0.00
          165    DicePayload                      26.89          0.00
          166    DicePayload                      26.89          0.00
          167    DicePayload                      26.90          0.00
          168    DicePayload                      26.90          0.00
          169    DicePayload                      26.90          0.00
          170    DicePayload                      26.90          0.00
          171    Panel1                           17.66          0.00
          172    Panel1                           17.69          0.00
          173    Panel1                           17.23          0.00
          174    Panel1                           17.24          0.00
          175    Panel1                           16.73          0.00
          176    Panel1                           16.73          0.00
          177    Toppanel                         14.49          0.51
          178    Toppanel                         14.76          0.51
          179    Toppanel                         17.53          0.51
          180    Toppanel                         17.89          0.51
          181    Panel3                           23.53          0.68
          182    Panel3                           25.29          0.68
          183    Panel3                           23.42          0.68
          184    Panel3                           25.23          0.68
          185    Panel3                           22.66          0.68
          186    Panel3                           24.56          0.68
          187    Panel2                           23.47          0.68
          188    Panel2                           25.02          0.68
          189    Panel2                           23.34          0.68
          190    Panel2                           24.95          0.68
          191    Panel2                           22.59          0.68
          192    Panel2                           24.28          0.68
          193    Bitflip                          22.56          0.00
          194    Bitflip                          22.56          0.00
          195    Bitflip                          22.56          0.00
          196    Bitflip                          22.56          0.00
          197    Bitflip                          22.57          0.00
          198    Bitflip                          22.57          0.00
          199    Bitflip                          22.56          0.00
          200    Bitflip                          22.56          0.00
          201    Bitflip                          22.57          0.00
          202    Bitflip                          22.58          0.00
          203    Bitflip                          22.57          0.00
          204    Bitflip                          22.57          0.00
          205    Bitflip                          22.58          0.00
          206    Bitflip                          22.58          0.00
          207    Bitflip                          22.57          0.00
          208    Bitflip                          22.57          0.00
          209    Bitflip                          22.58          0.00
          210    Bitflip                          22.57          0.00
          211    Bitflip                          22.57          0.00
          212    Bitflip                          22.57          0.00
          213    Bitflip                          22.59          0.00
          214    Bitflip                          22.58          0.00
          215    Bitflip                          22.58          0.00
          216    Bitflip                          22.58          0.00
          217    AluS10                           17.35          0.00
          218    AluS10                           17.35          0.00
          219    AluS10                           17.35          0.00
          220    AluS10                           17.35          0.00
          221    AluS10                           17.35          0.00
          222    AluS10                           17.35          0.00
          223    AluS10                           17.34          0.00
          224    AluS10                           17.34          0.00
          225    AluS10                           17.34          0.00
          226    AluS10                           17.34          0.00
          227    AluS10                           17.35          0.00
          228    AluS10                           17.35          0.00
          229    AluS10                           17.35          0.00
          230    AluS10                           17.35          0.00
          231    AluS10                           17.35          0.00
          232    AluS10                           17.35          0.00
          233    AluS11                           27.67          0.00
          234    AluS11                           27.67          0.00
          235    AluS11                           27.67          0.00
          236    AluS11                           27.67          0.00
          237    AluS11                           27.67          0.00
          238    AluS11                           27.67          0.00
          239    AluS11                           27.67          0.00
          240    AluS11                           27.67          0.00
          241    AluS11                           27.67          0.00
          242    AluS11                           27.67          0.00
          243    AluS11                           27.67          0.00
          244    AluS11                           27.67          0.00
          245    AluS11                           27.67          0.00
          246    AluS11                           27.67          0.00
          247    AluS11                           27.67          0.00
          248    AluS11                           27.67          0.00
          249    AluS12                           25.89          0.00
          250    AluS12                           25.89          0.00
          251    AluS12                           25.89          0.00
          252    AluS12                           25.88          0.00
          253    AluS12                           25.89          0.00
          254    AluS12                           25.89          0.00
          255    AluS12                           25.89          0.00
          256    AluS12                           25.89          0.00
          257    AluS12                           25.89          0.00
          258    AluS12                           25.89          0.00
          259    AluS12                           25.89          0.00
          260    AluS12                           25.89          0.00
          261    AluS12                           25.89          0.00
          262    AluS12                           25.89          0.00
          263    AluS12                           25.89          0.00
          264    AluS12                           25.89          0.00
          265    AluS9                            14.34          0.00
          266    AluS9                            14.34          0.00
          267    AluS9                            14.34          0.00
          268    AluS9                            14.34          0.00
          269    AluS9                            14.34          0.00
          270    AluS9                            14.34          0.00
          271    AluS9                            14.34          0.00
          272    AluS9                            14.34          0.00
          273    AluS9                            14.34          0.00
          274    AluS9                            14.34          0.00
          275    AluS9                            14.34          0.00
          276    AluS9                            14.34          0.00
          277    AluS9                            14.34          0.00
          278    AluS9                            14.34          0.00
          279    AluS9                            14.34          0.00
          280    AluS9                            14.34          0.00
          281    AluS2                            30.65          0.00
          282    AluS2                            30.65          0.00
          283    AluS2                            30.66          0.00
          284    AluS2                            30.66          0.00
          285    AluS2                            30.63          0.00
          286    AluS2                            30.65          0.00
          287    AluS2                            30.67          0.00
          288    AluS2                            30.69          0.00
          289    AluS2                            30.72          0.00
          290    AluS2                            30.74          0.00
          291    AluS2                            30.67          0.00
          292    AluS2                            30.60          0.00
          293    AluS2                            30.67          0.00
          294    AluS2                            30.67          0.00
          295    AluS2                            30.67          0.00
          296    AluS2                            30.67          0.00
          297    AluS1                            20.60          0.00
          298    AluS1                            20.60          0.00
          299    AluS1                            20.60          0.00
          300    AluS1                            20.60          0.00
          301    AluS1                            20.60          0.00
          302    AluS1                            20.57          0.00
          303    AluS1                            20.58          0.00
          304    AluS1                            20.60          0.00
          305    AluS1                            20.62          0.00
          306    AluS1                            20.63          0.00
          307    AluS1                            20.65          0.00
          308    AluS1                            20.62          0.00
          309    AluS1                            20.62          0.00
          310    AluS1                            20.62          0.00
          311    AluS1                            20.62          0.00
          312    AluS1                            20.62          0.00
          313    AluS4                            20.69          0.00
          314    AluS4                            20.69          0.00
          315    AluS4                            20.69          0.00
          316    AluS4                            20.69          0.00
          317    AluS4                            20.67          0.00
          318    AluS4                            20.66          0.00
          319    AluS4                            20.69          0.00
          320    AluS4                            20.73          0.00
          321    AluS4                            20.72          0.00
          322    AluS4                            20.71          0.00
          323    AluS4                            20.70          0.00
          324    AluS4                            20.68          0.00
          325    AluS4                            20.70          0.00
          326    AluS4                            20.70          0.00
          327    AluS4                            20.70          0.00
          328    AluS4                            20.70          0.00
          329    AluS3                            30.74          0.00
          330    AluS3                            30.74          0.00
          331    AluS3                            30.74          0.00
          332    AluS3                            30.74          0.00
          333    AluS3                            30.73          0.00
          334    AluS3                            30.71          0.00
          335    AluS3                            30.69          0.00
          336    AluS3                            30.75          0.00
          337    AluS3                            30.82          0.00
          338    AluS3                            30.80          0.00
          339    AluS3                            30.78          0.00
          340    AluS3                            30.75          0.00
          341    AluS3                            30.75          0.00
          342    AluS3                            30.75          0.00
          343    AluS3                            30.75          0.00
          344    AluS3                            30.75          0.00
          345    AluS6                            26.03          0.00
          346    AluS6                            26.03          0.00
          347    AluS6                            26.03          0.00
          348    AluS6                            26.03          0.00
          349    AluS6                            26.03          0.00
          350    AluS6                            26.03          0.00
          351    AluS6                            26.03          0.00
          352    AluS6                            26.03          0.00
          353    AluS6                            26.02          0.00
          354    AluS6                            26.03          0.00
          355    AluS6                            26.03          0.00
          356    AluS6                            26.03          0.00
          357    AluS6                            26.03          0.00
          358    AluS6                            26.03          0.00
          359    AluS6                            26.03          0.00
          360    AluS6                            26.03          0.00
          361    AluS5                            14.87          0.00
          362    AluS5                            14.87          0.00
          363    AluS5                            14.87          0.00
          364    AluS5                            14.87          0.00
          365    AluS5                            14.86          0.00
          366    AluS5                            14.86          0.00
          367    AluS5                            14.86          0.00
          368    AluS5                            14.86          0.00
          369    AluS5                            14.86          0.00
          370    AluS5                            14.86          0.00
          371    AluS5                            14.86          0.00
          372    AluS5                            14.86          0.00
          373    AluS5                            14.86          0.00
          374    AluS5                            14.86          0.00
          375    AluS5                            14.86          0.00
          376    AluS5                            14.86          0.00
          377    AluS8                            16.62          0.00
          378    AluS8                            16.61          0.00
          379    AluS8                            16.61          0.00
          380    AluS8                            16.61          0.00
          381    AluS8                            16.62          0.00
          382    AluS8                            16.61          0.00
          383    AluS8                            16.61          0.00
          384    AluS8                            16.61          0.00
          385    AluS8                            16.60          0.00
          386    AluS8                            16.61          0.00
          387    AluS8                            16.61          0.00
          388    AluS8                            16.61          0.00
          389    AluS8                            16.61          0.00
          390    AluS8                            16.61          0.00
          391    AluS8                            16.61          0.00
          392    AluS8                            16.61          0.00
          393    AluS7                            27.48          0.00
          394    AluS7                            27.48          0.00
          395    AluS7                            27.48          0.00
          396    AluS7                            27.48          0.00
          397    AluS7                            27.47          0.00
          398    AluS7                            27.47          0.00
          399    AluS7                            27.47          0.00
          400    AluS7                            27.47          0.00
          401    AluS7                            27.47          0.00
          402    AluS7                            27.47          0.00
          403    AluS7                            27.47          0.00
          404    AluS7                            27.47          0.00
          405    AluS7                            27.47          0.00
          406    AluS7                            27.47          0.00
          407    AluS7                            27.47          0.00
          408    AluS7                            27.47          0.00
 X      99998    INACTIVE_NODE                     0.00          0.00
        99999    ENVIRONMENT                    -270.00          0.00



          NODE          QE            QA            QI            C             

            1          0.00          0.00          0.00          5.72
            2          0.00          0.00          0.00          5.72
            3          0.00          0.00          0.00          5.72
            4          0.00          0.00          0.00          5.72
            5          0.00          0.00          0.00          5.72
            6          0.00          0.00          0.00          5.72
            7          0.00          0.00          0.00          5.72
            8          0.00          0.00          0.00          5.72
            9          0.00          0.00          0.00          5.72
           10          0.00          0.00          0.00          5.72
           11          0.00          0.00          0.00          5.72
           12          0.00          0.00          0.00          5.72
           13          0.19          0.08          0.00          9.24
           14          0.19          0.08          0.00          9.24
           15          0.18          0.08          0.00          9.24
           16          0.19          0.08          0.00          9.24
           17          0.19          0.08          0.00          9.24
           18          0.18          0.08          0.00          9.24
           19          0.40          0.13          0.00          6.10
           20          0.41          0.13          0.00          6.10
           21          0.41          0.13          0.00          6.10
           22          0.41          0.13          0.00          6.10
           23          0.00          0.00          0.03          8.99
           24          0.00          0.00          0.03         89.10
           25          0.00          0.00          0.03          8.99
           26          0.00          0.00          0.03         89.10
           27          0.00          0.00          0.03          8.99
           28          0.00          0.00          0.03         89.10
           29          0.00          0.00          0.03          8.99
           30          0.00          0.00          0.03         89.10
           31          0.00          0.00          0.01          1.95
           32          0.00          0.00          0.01         19.30
           33          0.00          0.00          0.01          1.95
           34          0.00          0.00          0.01         19.30
           35          0.00          0.00          0.01          1.95
           36          0.00          0.00          0.01         19.30
           37          0.00          0.00          0.01          1.95
           38          0.00          0.00          0.01         19.30
           39          0.00          0.00          0.01          1.95
           40          0.00          0.00          0.01         19.30
           41          0.00          0.00          0.01          1.95
           42          0.00          0.00          0.01         19.30
           43          0.00          0.00          0.01          1.95
           44          0.00          0.00          0.01         19.30
           45          0.00          0.00          0.01          1.95
           46          0.00          0.00          0.01         19.30
           47          0.00          0.00          0.01          1.95
           48          0.00          0.00          0.01         19.30
           49          0.00          0.00          0.01          1.95
           50          0.00          0.00          0.01         19.30
           51          0.00          0.00          0.01          1.95
           52          0.00          0.00          0.01         19.30
           53          0.00          0.00          0.01          1.95
           54          0.00          0.00          0.01         19.30
           55          0.00          0.00          0.01          1.95
           56          0.00          0.00          0.01         19.30
           57          0.00          0.00          0.01          1.95
           58          0.00          0.00          0.01         19.30
           59          0.00          0.00          0.01          1.95
           60          0.00          0.00          0.01         19.30
           61          0.00          0.00          0.01          1.95
           62          0.00          0.00          0.01         19.30
           63          0.00          0.00          0.03          8.99
           64          0.00          0.00          0.03         89.10
           65          0.00          0.00          0.03          8.99
           66          0.00          0.00          0.03         89.10
           67          0.00          0.00          0.03          8.99
           68          0.00          0.00          0.03         89.10
           69          0.00          0.00          0.03          8.99
           70          0.00          0.00          0.03         89.10
           71          0.00          0.00          0.05          9.90
           72          0.00          0.00          0.05          9.90
           73          0.00          0.00          0.05          9.90
           74          0.00          0.00          0.05          9.90
           75          0.00          0.00          0.01          1.58
           76          0.00          0.00          0.01          1.58
           77          0.00          0.00          0.01          1.58
           78          0.00          0.00          0.01          1.58
           79          0.00          0.00          0.01          1.58
           80          0.00          0.00          0.01          1.58
           81          0.00          0.00          0.01          1.58
           82          0.00          0.00          0.01          1.58
           83          0.00          0.00          0.01          1.58
           84          0.00          0.00          0.01          1.58
           85          0.00          0.00          0.01          1.58
           86          0.00          0.00          0.01          1.58
           87          0.00          0.00          0.01          1.58
           88          0.00          0.00          0.01          1.58
           89          0.00          0.00          0.01          1.58
           90          0.00          0.00          0.01          1.58
           91          0.00          0.00          0.05          9.90
           92          0.00          0.00          0.05          9.90
           93          0.00          0.00          0.05          9.90
           94          0.00          0.00          0.05          9.90
           95          0.00          0.00          0.00         82.37
           96          0.00          0.00          0.00         82.37
           97          0.00          0.00          0.00         82.37
           98          0.00          0.00          0.00         82.37
           99          0.00          0.00          0.00         17.91
          100          0.00          0.00          0.00         17.91
          101          0.00          0.00          0.00         17.91
          102          0.00          0.00          0.00         17.91
          103          0.00          0.00          0.00         17.91
          104          0.00          0.00          0.00         17.91
          105          0.00          0.00          0.00         17.91
          106          0.00          0.00          0.00         17.91
          107          0.00          0.00          0.00         17.91
          108          0.00          0.00          0.00         17.91
          109          0.00          0.00          0.00         17.91
          110          0.00          0.00          0.00         17.91
          111          0.00          0.00          0.00         17.91
          112          0.00          0.00          0.00         17.91
          113          0.00          0.00          0.00         17.91
          114          0.00          0.00          0.00         17.91
          115          0.00          0.00          0.00         82.37
          116          0.00          0.00          0.00         82.37
          117          0.00          0.00          0.00         82.37
          118          0.00          0.00          0.00         82.37
          119          0.22          0.07          0.00          3.58
          120          0.22          0.07          0.00          3.58
          121          0.22          0.07          0.00          3.58
          122          0.22          0.07          0.00          3.58
          123          0.00          0.00          0.01         29.70
          124          0.00          0.00          0.01         29.70
          125          0.00          0.00          0.01         29.70
          126          0.00          0.00          0.01         29.70
          127          0.00          0.00          0.00         10.89
          128          0.00          0.00          0.00         10.89
          129          0.00          0.00          0.00         10.89
          130          0.00          0.00          0.00         10.89
          131          0.00          0.00          0.00         10.89
          132          0.00          0.00          0.00         10.89
          133          0.00          0.00          0.00         10.89
          134          0.00          0.00          0.00         10.89
          135          0.00          0.00          0.00         10.89
          136          0.00          0.00          0.00         10.89
          137          0.00          0.00          0.00         10.89
          138          0.00          0.00          0.00         10.89
          139          0.00          0.00          0.00         10.89
          140          0.00          0.00          0.00         10.89
          141          0.00          0.00          0.00         10.89
          142          0.00          0.00          0.00         10.89
          143          0.00          0.00          0.01         29.70
          144          0.00          0.00          0.01         29.70
          145          0.00          0.00          0.01         29.70
          146          0.00          0.00          0.01         29.70
          147          0.00          0.00          0.00         74.89
          148          0.00          0.00          0.00         74.89
          149          0.00          0.00          0.00         74.89
          150          0.00          0.00          0.00         74.89
          151          0.00          0.00          0.00        124.81
          152          0.00          0.00          0.00        124.81
          153          0.00          0.00          0.00        124.81
          154          0.00          0.00          0.00        124.81
          155          0.00          0.00          0.00         47.43
          156          0.00          0.00          0.00         47.43
          157          0.00          0.00          0.00         47.43
          158          0.00          0.00          0.00         47.43
          159          0.00          0.00          0.00        124.81
          160          0.00          0.00          0.00        124.81
          161          0.00          0.00          0.00        124.81
          162          0.00          0.00          0.00        124.81
          163          0.00          0.00          0.00         47.43
          164          0.00          0.00          0.00         47.43
          165          0.00          0.00          0.00         47.43
          166          0.00          0.00          0.00         47.43
          167          0.00          0.00          0.00         74.89
          168          0.00          0.00          0.00         74.89
          169          0.00          0.00          0.00         74.89
          170          0.00          0.00          0.00         74.89
          171          0.18          0.04          0.00          9.24
          172          0.19          0.05          0.00          9.24
          173          0.19          0.04          0.00          9.24
          174          0.19          0.04          0.00          9.24
          175          0.20          0.05          0.00          9.24
          176          0.19          0.05          0.00          9.24
          177          0.00          0.00          0.00          6.10
          178          0.00          0.00          0.00          6.10
          179          0.00          0.00          0.00          6.10
          180          0.00          0.00          0.00          6.10
          181          0.19          0.06          0.00          9.24
          182          0.19          0.06          0.00          9.24
          183          0.19          0.06          0.00          9.24
          184          0.19          0.06          0.00          9.24
          185          0.18          0.06          0.00          9.24
          186          0.19          0.06          0.00          9.24
          187          0.19          0.06          0.00          9.24
          188          0.19          0.06          0.00          9.24
          189          0.19          0.06          0.00          9.24
          190          0.19          0.06          0.00          9.24
          191          0.18          0.06          0.00          9.24
          192          0.19          0.06          0.00          9.24
          193          0.00          0.00          0.00         59.40
          194          0.00          0.00          0.00         59.40
          195          0.00          0.00          0.00         59.40
          196          0.00          0.00          0.00         59.40
          197          0.00          0.00          0.00         99.00
          198          0.00          0.00          0.00         99.00
          199          0.00          0.00          0.00         99.00
          200          0.00          0.00          0.00         99.00
          201          0.00          0.00          0.00         37.62
          202          0.00          0.00          0.00         37.62
          203          0.00          0.00          0.00         37.62
          204          0.00          0.00          0.00         37.62
          205          0.00          0.00          0.00         99.00
          206          0.00          0.00          0.00         99.00
          207          0.00          0.00          0.00         99.00
          208          0.00          0.00          0.00         99.00
          209          0.00          0.00          0.00         37.62
          210          0.00          0.00          0.00         37.62
          211          0.00          0.00          0.00         37.62
          212          0.00          0.00          0.00         37.62
          213          0.00          0.00          0.00         59.40
          214          0.00          0.00          0.00         59.40
          215          0.00          0.00          0.00         59.40
          216          0.00          0.00          0.00         59.40
          217          0.00          0.00          0.00          0.04
          218          0.00          0.00          0.00          0.04
          219          0.00          0.00          0.00          0.04
          220          0.00          0.00          0.00          0.04
          221          0.00          0.00          0.00          1.37
          222          0.00          0.00          0.00          1.37
          223          0.00          0.00          0.00          1.37
          224          0.00          0.00          0.00          1.37
